Keys,Chinese (Traditional)
Carcass Rocket,胴體火箭
Carry Ammo Requirements,需要炮兵或火箭兵
Carry Ammobox,攜帶彈藥
Carry Rocket Ammobox,攜帶一捆
Carry Rocket Stack Requirements,需要炮兵或者火箭兵
Carry the ammo box around,隨身攜帶彈藥箱
Carry the rocket ammo box around,隨身攜帶火箭彈藥箱
CarryExplosiveBarrel,攜帶爆炸物
CarryExplosiveBarrel Description,隨身攜帶爆炸桶
CarryExplosiveBarrel Requirements,需要工兵或木匠
Case Rocket,彈殼火箭
Chain Shot,鏈彈
Grape Shot L,霰弹（大号）
Grape Shot S,霰弹（小号）
IgniteExplosiveBarrel,點燃
IgniteExplosiveBarrel Description,點燃引信
Lantern,燈籠
Lantern Description,毀滅性的大規模殺傷性武器
Long range solid iron shot,遠射程實心鐵彈
Mass of small solid iron shots,大量的小實心鐵彈
Round Shot,實心彈
Shell Rocket,貝殼火箭
Shell Rocket Description,充滿黑色火藥的球形頭
Spyglass,望遠鏡
Spyglass Description,發現遠處的人
Tears sails and cuts rigging,撕毀船帆和切斷鎖具
