Keys,English
Assist Kill,Assist Kill
Dominating,Dominating
Drowned,Drowned
Enemy Hit,Enemy Hit
Enemy Killed,Enemy Killed
Environment,Environment
Environment Damaged,Damaged
Environment Damaged Assist,Assist
Fatal Fall,Fatal Fall
Flag Bearer Kill,Flag Bearer Kill
Friendly Hit,Friendly Hit
FriendlyPlayerDamagedEmplacement,Hit Friendly Emplacement
FriendlyPlayerDestroyedEmplacement,Destroyed Friendly Emplacement
Headshot,Headshot
Kill Streak,Kill Streak
Killing Spree,Killing Spree
Long Range,Long Range
Multi Kill,Multi Kill
Officer Kill,Officer Kill
Oh thats brutal,Oh that’s brutal
PlayerBuildingEmplacement,Building Emplacement
PlayerBuiltEmplacement,Emplacement Built
PlayerDestroyedEmplacement,Emplacement Destroyed 
PlayerDestroyingEmplacement,Destroying Emplacement
PlayerRepairedEmplacement,Repaired Emplacement
PlayerRepairingArtillery,Repairing Artillery Piece
PlayerRepairingEmplacement,Repairing Emplacement
Ship Damaged,Ship Damaged
Ship Damaged Assist,Ship Damaged Assist
Ship Sunk Assist,Ship Sunk Assist
Ship Sunk Kill,Ship Sunk
Team Kill,Team Kill
Unstoppable,Unstoppable
is,is
is on a,is on a
Support Class Kill,Support Class Kill
HealedPlayer,Healed Player
AssistHealedPlayer,Healed
InLine,In Line
Guard Kill,Guard Kill
