Keys,Chinese (Traditional)
Assist Kill,助攻擊殺
Dominating,主宰
Drowned,溺水
Enemy Hit,擊傷敵人
Enemy Killed,擊殺敵人
Environment,環境
Environment Damaged,破壞
Environment Damaged Assist,助攻
Fatal Fall,致命擊殺
Flag Bearer Kill,擊殺旗手
Friendly Hit,隊友誤傷
FriendlyPlayerDamagedEmplacement,擊中友軍工事
FriendlyPlayerDestroyedEmplacement,破壞友軍工事
Headshot,擊中頭部
Kill Streak,連續擊殺
Killing Spree,殺人狂魔
Long Range,遠距離
Multi Kill,多次擊殺
Officer Kill,擊殺軍官
Oh thats brutal,不可阻擋
PlayerBuildingEmplacement,建造工事
PlayerBuiltEmplacement,工事已建造
PlayerDestroyedEmplacement,工事已摧毀
PlayerDestroyingEmplacement,摧毀工事
PlayerRepairedEmplacement,修復了進駐
PlayerRepairingArtillery,修理砲彈
PlayerRepairingEmplacement,修復進駐
Ship Damaged,擊中船隻
Ship Damaged Assist,擊中船隻助攻
Ship Sunk Assist,擊沉助攻
Ship Sunk Kill,擊沉
Team Kill,誤殺隊友
Unstoppable,勢不可擋
is,
is on a,正在
Support Class Kill,後勤兵種擊殺
HealedPlayer,治療玩家
AssistHealedPlayer,治療
InLine,排隊
Guard Kill,守衛殺人
