"source","target"
"AlreadyConnectedHeader","已建立连接"
"YouAreStillConnected","服务器认为您并未退出游戏，所以请等待片刻再重新加入。"
"BannedByAdministratorHeader","您已被管理员设定禁止进入"
"DeniedAccessToTheServer","进入服务器的请求被拒绝。"
"ContactServerAdministratorToAppeal","请联系相关服务器管理员进行申诉。"
"KickedByAdministratorHeader","被管理员踢出"
"YouHaveBeenKickedByAnAdministrator","您已被管理员踢出服务器。"
"EnsureToAbideByTheRules","请遵守服务器相关游玩规则。"
"GameClientNotUpdatedHeader","游戏版本过旧"
"GameClientNotUpdated","请关闭游戏并打开steam进行更新操作。"
"DownloadBySteamInstructionTitle","您可以通过以下操作强制steam将游戏更新为最新版本："
"DownloadBySteamInstructionBody","1.退出游戏。
2.在Steam游戏库中找到Holdfast：Nations At War。
3.右键单击Holdfast：Nations At War，然后从下拉菜单中选择“属性”。
4.转到“本地文件”选项卡。
5.单击“验证游戏文件的完整性...”按钮。
6.等待Steam完成验证后重新启动游戏。"
"GameServerNotUpdatedHeader","游戏服务器版本过旧"
"GameServerNotUpdated","游戏服务器并非最新版本。"
"ContactServerAdminToUpdateServer","请与相关服务器管理员联系以更新服务器。"
"PasswordIsIncorrectHeader","密码不正确"
"EnteredPasswordIsIncorrect","您输入的密码不正确。"
"PasswordsAreCaseSensitive","密码区分大小写，确保没有打开大写锁定。"
"GameServerIsFullHeader","游戏服务器已满"
"GameServerCurrentlyFull","游戏服务器目前已满。"
"JoinAnotherServerOrWaitForSlot","请先加入其他服务器或者等待服务器有空闲位置。"
"ServerShutdownHeader","服务器已关机"
"ServerWasShutdown","服务器已关闭，请加入其他服务器继续游玩。"
"DisconnectedHeader","连接断开"
"YouHaveBeenDisconnected","您已与服务器断开连接。"
"YouMustBeConnectedToSteam","确保您没有在“离线模式”下运行Steam，您必须连接到Steam网络才能进入游戏。"
"UnableToConnectHeader","无法连接"
"CheckInternetConnectionStability","您无法连接到服务器，确保您的互联网连接稳定。"
"TroubleshootInstructionHeader","建议尝试以下方法排除故障："
"TroubleshootInstructionBody","1.退出游戏。
2.重新插拔网线。
3.重新启动路由器。
4.暂时禁用可能阻止连接的任何杀毒软件或防火墙。
5.确保您没有连接VPN。
6.通过Steam验证游戏文件的完整性。
7.确保您没有在“离线模式”下运行Steam。
8.转到'\ AppData \ LocalLow \ Anvil Game Studio'并删除'Holdfast NaW'文件夹。
8.1。备份'muteplayerschat'和'muteplayersvoip'文本文件，因为它们包含您屏蔽语音的角色列表信息。
9.尝试通过Steam向朋友求助。
10.尝试使用其他互联网连接（如果有）。"
"RequestFurtherAssistance","在Discord获取进一步帮助，错误ID为{0}。"
"SteamUnableToAuthenticateHeader","无法通过Steam验证身份"
"AuthenticateInstructionBody","无法通过Steam进行身份验证，您必须连接到Steam才能进入游戏。
尝试以下故障排除方法：

1.退出Steam。
2.重新登录Steam。
3.重新启动游戏。"
"ServerMessageHeader","服务器消息"
"SteamConnectionHeader","steam连接"
