"source","target"
"Ammobox","弹药箱"
"ArtilleryMenu","炮兵"
"CannotPlaceObject","该对象无法放置在此处。"
"ChevauxDeFriseLarge","拒马（l）"
"ChevauxDeFriseSmall","拒马（s）"
"DefensiveEmplacementsMenu","防御建筑"
"Earthworks","土方工程"
"EarthworksMenu","土木工程"
"EmplacementBuildLimitExceeded","无法建造{0}，因为此类型的建筑物太多了。"
"EmplacementPlaced","已放置{0}。"
"ExplosiveBarrel","火药桶"
"Gabion","堡篮"
"HammerConstructMode","掩体建造模式"
"HammerDeconstructMode","掩体拆除模式"
"HammerNotEquipped","你需要装备一个锤子来完成这个操作。"
"InfantryStakes","矛刺木桩"
"LeftClick","鼠标左键点击"
"MaterialPoints","材料点"
"Materials","建材"
"MaterialsRequired","所需材料："
"None","无"
"NotEnoughMaterials","您的阵营没有足够的材料来建造此建筑。"
"RocketStack","火箭堆"
"Sandbags","沙包"
"SpadeConstructMode","挖掘模式"
"SpadeDeconstructMode","填平模式"
"SwitchedSapperMode","切换模式为：{0}"
"SwivelGunBarrel","速射炮"
