Brawl,全力以赴的戰鬥！達到一定的殺敵數便可獲得勝利。
AttackersCapturePrimaryObjects,攻擊者！在計時器用完之前捕獲所有主要目標。協調攻擊並使用火砲突破防禦。 “孤獨的希望”造成的生命損失是必要的犧牲。
InvadersCaptureEnemyFortification,入侵者！捕獲對立陣營的防禦工事。在海軍陸戰隊員和船員登陸岸之前，充分利用火箭和大砲突破防禦陣地。
ControlAndConquer,控制和征服！保衛和捕捉地圖周圍的目標以取得勝利。
DefendersPreventAssaultingForces,防守者們！阻止所有突擊軍隊佔領你的主要據點。你必須在有限的增援次數內存活直到倒計時完畢。充分利用好掩體。
DefendersPreventInvadingForces,捍衛者！防止入侵部隊捕獲你的沿海防禦工事。你的增援是有限的。操縱堡壘的槍支，防止入侵者入侵。
EveryoneIsYourEnemy,所有人都是你的敵人。這包括了相同陣營的玩家。
GatherTickets,收集門票！控制比敵人收集門票更多的目標。這是贏得比賽的關鍵。
LastStand,堅持！這是你在無增援時最後一次扭轉乾坤的機會。
LimitedReinforcements,有限的增援！務必制定策略並進行協調。如果它們耗盡，你將無法再生成。
PlayTogetherCoordinateAssaults,一起玩！協調攻擊和製定戰略。除非你的團隊數量更多，否則目標不能被捕獲。
SailWithTheWind,迎風揚帆！小地圖上的箭頭方向為風向。轉向有利於你的流向。
RaiseSailsAndLowerThem,啟航！按[{0}]升高風帆，按[{1}]降低風速。
SingleLife,單身生活！如果你遇到了你的結局，你將不得不等待一輪完成才能重生。一定要好好利用它。
SinkEnemyShips,擊沉敵方船隻！充分利用好鏈彈和實心彈以擊沉敵方的船隻。與你船上的隊友協力達成目標。
SpawningInWaves,出生會以一波進行。利用其當做集合和組織的機會。
Spyglass,使用望遠鏡來辨別隊友。所有海軍船隻都會懸掛著其所屬陣營的旗幟。
MeleeCombat,在近戰競技場中最好的對手！制定戰略並罷工。阻擋是贏得比賽的關鍵。
Rowboats,一旦沉沒，船舶不會重生！如果您的船隻通往海底，請使用划艇登船和船員聯盟船隻。
