Keys,Chinese (Simplified)
Aim Cannon,瞄准
Aim Rocket,瞄准
Assist Build Object,建立工事 - 协助
Assist Repair Object,修复工事 - 协助
Build Object,建立工事
Cancel Launch Rowboat,取消下水划艇
Cancel Load Ammo,取消装载弹药
Cancel Load Rocket Ammo,取消装载火箭
Cancel Packing Rocket Rack,取消收起火箭发射器
Cancel Ram Ammo,取消冲压弹药
Cancel Unpacking Rocket Rack,取消安装火箭发射器
CancelDefuseExplosiveBarrel,取消拆除爆炸桶
Carry Ladder,携带梯子
Carry Rocket Rack,携带火箭发射器
CarrySwivelGunBarrel,携带回转炮
CancelCarrySwivelGunBarrel,取消携带回转炮
Climb,爬
Close,关闭
Damage Object,击中工事
Deconstruct Object,击毁工事
DefuseExplosiveBarrel,破坏爆炸桶
Drop Ladder,丢掉梯子
Fire Cannon,开炮
Fire Rocket,发射火箭
FireamRefillCancel,取消补充弹药
FirearmRefill,捡起{0} {1}子弹[{2}]
FirearmRefillGeneric,捡起{0}火器弹药筒[{1}]
FullFirearmWeapons,你不能携带更多枪支
FullMeleeWeapons,你不能携带更多的近战武器
GunNotFoundForThatAmmo,你没有{0}
GunNotSuitable,装备你的枪支
Hold,按住
Launch Rowboat,划船
LeftClick,鼠标左键点击
Load Ladder,升起梯子
NoAmmoRemaining,弹药已无剩余
NoAmmoRemainingForYou,你拿了你的那份
NoAmmoRequired,{0}弹药已满
NoMoreWeaponRemaining,没有{0}了
Open,打开
Pack Rocket Rack,收起火箭发射器
PickupWeapon,捡起{0} [{1}]
PickupWeaponCancel,取消捡起{0}
Place Object,放置工事
Play,演奏
PlayInworldSoundBell,响铃
PlayInworldSoundChurchBell,响铃
PlayInworldSoundShipBell,响铃
Press,按
Pump,泵
Push Cannon,推大炮
Release,发布
Repair Object,修复工事
Sail Ship,驾驶船只
Set Assist Ladder Moveable,移动梯子 - 协助
Set Assist Movable,移动大炮 - 协助
Set Assist Rocket Moveable,携带火箭发射器 - 协助
Set Load Ammo,装填弹药
Set Load Rocket Ammo,装载火箭
Set Movable,移动大炮
Set Ram Ammo,冲压弹药
Sit,坐
Stop Assist Ladder Moveable,停止移动梯子 - 协助
Stop Assist Moving,停止移动大炮 - 协助
Stop Assist Rocket Moveable,停止携带火箭发射器 - 协助
Stop Carrying Rocket Rack,停止携带火箭发射器
Stop Moving,停止移动大炮
Turn Off,熄灭
Turn On,点亮
Unload Ladder,下梯子
Unpack Rocket Rack,安装火箭发射器
Use ammo box,使用弹药箱
Use rocket stack,使用火箭堆
UseExplosiveBarrel,使用爆炸桶
UseLanternBox,使用提灯
UseSpyglassBox,使用望远镜盒
Wait,等待
WeaponNotFound,你不能使用{0}
YouAlreadyHaveThatWeapon,你已经有了{0}
