"source","target"
"Ammobox","弹药箱"
"Assister","你正在协助其他玩家推动大炮。"
"BorderWarning","回头，不要试图成为逃兵。"
"BuildingMode","建造"
"CanPlaceLadder","你可以把梯子架设在这个位置。"
"CannotLoad","你手中的弹药无法填装这门火炮。"
"CannotPlaceObject","该对象无法放置在此处。"
"Chair","椅子"
"ChevauxDeFriseLarge","拒马（l）"
"ChevauxDeFriseSmall","拒马（s）"
"DeconstructMode","拆除"
"Earthworks","土方工程"
"EmplacementBuildLimitExceeded","无法建造{0}，因为此类型的建筑物太多了。"
"EmplacementPlaced","已放置{0}。"
"EnemyShipCaptured","我们捕获了敌人的船只{0}！"
"EnemyShipSunk","我们击沉了敌人的船只{0}！"
"ExitPositionError","火炮的炮口被挡住了，无法瞄准。"
"ExplosiveBarrel","火药桶"
"FriendlyShipCaptured","友军船只{0}已被捕获！"
"FriendlyShipSunk","友军船只{0}已经沉没！"
"Gabion","堡篮"
"HammerConstructMode","建造"
"HammerDeconstructMode","拆毁"
"HammerNotEquipped","你需要一把锤子才能进行建造。"
"InfantryStakes","矛刺木桩"
"Kicked","一名炮兵接管了这门火炮。"
"LadderAssistJoined","受到另一位玩家的帮助，你的推炮速度更快了。"
"LadderAssistLeft","帮助你的玩家离开了。"
"LadderAssister","你正在协助他人搬运梯子。"
"LadderKicked","一名木匠接管了这架梯子的操作。"
"LadderMover","你搬起了一架梯子，按“{0}”前进。"
"LadderPlacedInPosition","梯子已放置在合适的位置，您可以按“{0}”来将梯子架起来。"
"Limit","数量限制"
"LoadingPositionError","这门火炮的炮口被挡住了，因此无法填装。"
"MaterialPoints","建材数量"
"Materials","建材"
"Mover","你正在推动这门火炮，按“{0}”前进。"
"NeedAmmo","你没有携带任何弹药。"
"None","无"
"NotEnoughMaterials","您的阵营没有足够的材料来建造此建筑。"
"Palisade","栅栏"
"RammingPositionError","这门火炮的炮口被挡住了，无法压实弹药。"
"RocketAssister","你正在协助其他玩家搬运火箭发射器。"
"RocketAssisterJoined","另一位玩家正在帮助你，你搬运火箭发射器的速度变得更快了。"
"RocketAssisterLeft","帮助你的玩家离开了。"
"RocketCannotMount","火箭发射器被其他东西压住了。"
"RocketKicked","{0}控制了这门炮。"
"RocketMover","你抬起了火箭发射器，按“{0}”前进。"
"RocketPlayerClassCannotDismount","只有接受过专业训练的人才可以拆除火箭发射器。"
"RocketPlayerClassCannotMount","只有接受过专业训练的人才可以架设火箭发射器。"
"RocketStack","火箭堆"
"RowboatAssist","你正在帮助其他玩家操纵划艇。"
"RowboatSpawnBlocked","无法登上划艇，增援点失效。"
"Sandbag","沙袋"
"SelectionMode","模式切换"
"ShootingPlatform","射击台"
"SpadeConstructMode","挖掘"
"SpadeDeconstructMode","填平"
"SwitchedSapperMode","切换模式为：{0}"
"SwivelGun","速射小炮"
"SwivelGunCannotCarryByClass","只有工兵可以搬运小型速射炮。"
"TooManyItemsLimit","我方无法建造更多的此类工事了。"
