Ammobox,Ammobox
Assister,你正在協助其他玩家移動大砲。
BorderWarning,你在離開戰場。快回頭！
BuildingMode,建造
CanPlaceLadder,你可以把梯子放在這個位置。
CannotLoad,你無法在這種火砲中加載你的彈藥。
CannotPlaceObject,您無法在此處放置對象。
Chair,椅子
ChevauxDeFriseLarge,Chevaux De Frize（l）
ChevauxDeFriseSmall,Chevaux De Frize（s）
DeconstructMode,解構
Earthworks,土方工程
EmplacementBuildLimitExceeded,無法建造{0}，因為此類型的建築物太多。
EmplacementPlaced,已放置{0}。
EnemyShipCaptured,我們抓住了敵人的船隻{0}！
EnemyShipSunk,我們沉沒了敵人的船隻{0}！
ExitPositionError,加農炮的位置太靠近物體。你無法瞄準。
ExplosiveBarrel,爆炸桶
FriendlyShipCaptured,盟軍船隻{0}已被捕獲！
FriendlyShipSunk,盟軍船隻{0}已經沉沒！
Gabion,石籠
HammerConstructMode,構造
HammerDeconstructMode,解構
HammerNotEquipped,你需要一把錘子來執行這個動作。
InfantryStakes,步兵賭注
Kicked,Cannoneer控制了這種火砲。
LadderAssistJoined,一名球員正在協助你。梯子現在可以更快的速度運送。
LadderAssistLeft,你不再受到幫助了。
LadderAssister,你正在協助其他玩家移動梯子。
LadderKicked,一個木匠控制了這個階梯。
LadderMover,你可以控制階梯。按“{0}”繼續前進。
LadderPlacedInPosition,梯子已放置在其位置。您可以按“{0}”來升高階梯。
Limit,限制
LoadingPositionError,加農炮的位置太靠近物體。你無法加載。
MaterialPoints,物質點
Materials,物料
Mover,你可以控制大砲。按“{0}”繼續前進。
NeedAmmo,你沒有攜帶任何彈藥。
None,沒有
NotEnoughMaterials,您的陣營沒有足夠的材料來構建此對象。
Palisade,柵欄
RammingPositionError,加農炮的位置太靠近物體。你無法撞擊。
RocketAssister,你正在協助其他玩家移動火箭發射器。
RocketAssisterJoined,一名球員正在協助你。現在可以以更快的速度攜帶發射器。
RocketAssisterLeft,你不再受到幫助了。
RocketCannotMount,火箭發射器無法在靠近物體的地方解壓縮。你無法在這裡打開包裝。
RocketKicked,{0}控制了這門砲。
RocketMover,你可以控制火箭發射器。按“{0}”繼續前進。
RocketPlayerClassCannotDismount,你必須是一個Cannoneer或Rocketeer才能打包火箭發射器。
RocketPlayerClassCannotMount,您必須是Cannoneer或Rocketeer來打開火箭發射器的包裝。
RocketStack,火箭堆棧
RowboatAssist,你正在協助其他玩家操縱划艇。
RowboatSpawnBlocked,無法發射划艇。產卵受阻。
Sandbag,沙袋
SelectionMode,模式選擇器
ShootingPlatform,柵欄平台
SpadeConstructMode,挖
SpadeDeconstructMode,Undig
SwitchedSapperMode,切換模式為{0}
SwivelGun,迴旋炮
SwivelGunCannotCarryByClass,只有工兵才能攜帶迴旋炮。
TooManyItemsLimit,你的陣營無法構建更多此對象。
