Keys,English
Audio/Ambiance,Ambience
Audio/Announcer,Announcer
Audio/Artillery,Artillery
Audio/Audio,Audio
Audio/Audio Device,Audio Device
Audio/Character Phrases,Character Phrases
Audio/Footsteps,Footsteps
Audio/Listen Locally,Test Microphone
Audio/Master,Master
Audio/Master Volumes,Master Volumes
Audio/Menu Music,Menu Music
Audio/Microphone,Microphone
Audio/Music Volumes,Music Volumes
Audio/Musician Songs,Musician Songs
Audio/Speaker Mode,Speaker Mode
Audio/The Speaker Mode can only be adjusted from the main menu,The speaker mode can only be adjusted from the main menu
Audio/VOIP,VOIP
Audio/Weapon Fire,Weapon Fire
Audio/Weather,Weather
Game,Game
Game/Aiming Firearm,Aiming Firearm
Game/Auto Bayonet Switch,Auto Bayonet Switch
Game/Bounce,Bounce
Game/Chat/RecruitChannel,Recruit Channel
Game/Cinematic/DeadX,Yaw Sensitivity
Game/Cinematic/DeadY,Pitch Sensitivity
Game/Cinematic/RotX,Yaw Speed
Game/Cinematic/RotY,Pitch Speed
Game/CinematicCamera,Cinematic Camera
Game/Crosshair/Blue,Blue
Game/Crosshair/Crosshair Configuration,Crosshair Configuration
Game/Crosshair/Crosshair1,Default
Game/Crosshair/Crosshair2,Arrow
Game/Crosshair/Crosshair3,Fancy
Game/Crosshair/Crosshair4,Line
Game/Crosshair/Crosshair5,Nail
Game/Crosshair/DynamicCrosshair,Dynamic Crosshair
Game/Crosshair/Green,Green
Game/Crosshair/Preview,Preview
Game/Crosshair/Red,Red
Game/Crosshair/Style,Style
Game/Crosshair/Transparency,Transparency
Game/Crosshair/WarningMessage,Crosshair changes are only visible upon spawning
Game/Custom Name,Custom Name
Game/Field Of View,Field Of View
Game/Freeflight/CinematicMode,Cinematic Mode
Game/Freeroam Camera,Freeroam Camera
Game/Global Sensitivity,Global Sensitivity
Game/Invert Mouse Y,Invert Mouse Y
Game/Maximum Corpses,Maximum Corpses
Game/Melee Cam Distance,Melee Cam Distance
Game/Melee Combat,Melee Combat
Game/Mouse Sensitivity,Mouse Sensitivity
Game/Normal Speed,Normal Speed
Game/Other,Other
Game/Playe Name Settings can only be adjusted from the Main Menu,Player name settings can only be adjusted from the main menu
Game/Player Name,Player Name
Game/Ragdoll Corpses,Ragdoll Corpses
Game/Same Attack Sensitivity,Same Attack Sensitivity
Game/Seconds InGame,Seconds in-Game
Game/Show Player Names,Show Player Names
Game/UI/Broadcasted Messages,Broadcasted Messages
Game/UI/Buffs Indicators,Buffs Indicators
Game/UI/CenterScreen Dot,Center-Screen Dot
Game/UI/Chat,Chat
Game/UI/Crosshair,Crosshair
Game/UI/Friendly Indicator,Friendly Indicator
Game/UI/Friendly Nametags,Friendly Nametags
Game/UI/Health  Weapon,Health & Weapon
Game/UI/Interaction Indicators,Interaction Indicators
Game/UI/Kill Feed,Kill Feed
Game/UI/LatencyIndicator,Latency Indicator
Game/UI/LatencyWarning,Latency Warning
Game/UI/Minimap,Minimap
Game/UI/Objectives Panel,Objectives Panel
Game/UI/Personal Score,Personal Score
Game/UI/Player Joined Notifications,Player Joined Notifications
Game/UI/Reload Indicator,Reload Indicator
Game/UI/Round Info Panel,Round Info Panel
Game/UI/Show Announcer,Show Announcer
Game/UI/Show Server Name,Show Server Name
Game/UI/Spectating Text,Spectating Text
Game/UI/VOIP Markers,Voip Markers
Game/Upload Error Log,Upload Error Log
Game/Use Steam Name,Use Steam Name
Game/UI/EmplacementHealthIndicator,Emplacement Health Indicator
Game/UI/OfficerOrderLineIndicatorMarker,Officer Line Indicator Marker
Game/UI/OfficerOrderReinforceIndicatorMarker,Officer Reinforce Indicator Marker
Game/User Interface,User Interface
Keys,Keys
Keys/1st 3rd Person Camera,1st 3rd Person Camera
Keys/Administration Console,Administration Console
Keys/Aim Firearm,Aim Firearm
Keys/Artillery Weapons,Artillery Weapons
Keys/Auto Run,Auto Run
Keys/Backward,Backward
Keys/Cameras,Cameras
Keys/Change Chat Channel,Change Chat Channels
Keys/Chat,Chat
Keys/ChatTitle,Chat Configuration
Keys/Communications,Communications
Keys/Crouch,Crouch
Keys/Down,Down
Keys/Equip Lantern,Equip Lantern
Keys/Equip Musical Instrument,Equip Musical Instrument
Keys/Equip Spyglass,Equip Spyglass
Keys/Fire Firearm,Fire Firearm
Keys/Firearm Weapons,Firearm Weapons
Keys/Forward,Forward
Keys/Freeroam Camera,Freeroam Camera
Keys/Interact,Interact
Keys/Inventory,Inventory
Keys/Jump,Jump
Keys/Last Voice Command,Last Voice Command
Keys/Left,Left
Keys/Lower Next Sail,Lower Next Sail
Keys/Melee Attack,Melee Attack
Keys/Melee Block,Melee Block
Keys/Melee Weapons,Melee Weapons
Keys/Melee Bash,Melee Bash
Keys/Miscellaneous,Miscellaneous
Keys/Move Backwards,Move Backwards
Keys/Move Forward,Move Forward
Keys/Movement,Movement
Keys/Musicians,Musicians
Keys/Mute Players Window,Mute Players Window
Keys/Open Music Panel,Open Music Panel
Keys/Orbit Camera,Orbit Camera
Keys/Patriotic Cheer,Patriotic Cheer
Keys/Push To Talk,Push To Talk
Keys/Raise Next Sail,Raise Next Sail
Keys/Reload Firearm,Reload Firearm
Keys/Right,Right
Keys/Rotate Down,Rotate Down
Keys/Rotate Left,Rotate Left
Keys/Rotate Right,Rotate Right
Keys/Rotate Up,Rotate Up
Keys/Row Backwards,Row Backwards
Keys/Row Boats,Row Boats
Keys/Row Forward,Row Forward
Keys/Sailing Ships,Sailing Ships
Keys/Scoreboard,Scoreboard
Keys/Shout Insult,Shout Insult
Keys/Sprint,Sprint
Keys/Steer Left,Steer Left
Keys/Steer Right,Steer Right
