British/ArmyInfantryOfficer,步兵军官
British/ArmyLineInfantry,线列步兵
British/ArmyLineInfantry2,线列步兵(92团)
British/Bagpiper,风笛手
British/Cannoneer,炮手
British/Carpenter,木匠
British/CoastGuard,海岸守卫
British/Customs,海关步兵
British/Drummer,鼓手
British/Fifer,笛手
British/FlagBearer,旗手
British/Grenadier,掷弹兵
British/Guard,近卫
British/LightInfantry,轻步兵
British/NavalCaptain,舰长
British/NavalMarine,水兵
British/NavalSailor,水手
British/NavalSailor2,熟练水手
British/Rifleman,来复枪兵
British/Surgeon,军医
British/Violinist,小提琴手
French/ArmyInfantryOfficer,步兵军官
French/ArmyLineInfantry,线列步兵
French/ArmyLineInfantry2,线列步兵(维斯杜拉)
French/Bagpiper,风笛手
French/Cannoneer,炮手
French/Carpenter,木匠
French/CoastGuard,海岸守卫
French/Customs,海关步兵
French/Drummer,鼓手
French/Fifer,笛手
French/FlagBearer,旗手
French/Grenadier,掷弹兵
French/Guard,近卫
French/LightInfantry,轻步兵
French/NavalCaptain,舰长
French/NavalMarine,水兵
French/NavalSailor,水手
French/NavalSailor2,熟练水手
French/Rifleman,来复枪兵
French/Surgeon,军医
French/Violinist,小提琴手
Prussian/ArmyLineInfantry,线步兵
Prussian/ArmyInfantryOfficer,步兵军官
Prussian/Guard,守护
Prussian/LightInfantry,轻步兵
Prussian/ArmyLineInfantry2,线列步兵（freikorps）
Prussian/Rifleman,步枪兵
Prussian/Surgeon,外科医生
Prussian/FlagBearer,旗手
Prussian/Fifer,笛手
Prussian/Drummer,鼓手
Prussian/Sapper,工兵
Prussian/Cannoneer,炮手
Prussian/Grenadier,掷弹兵
Prussian/Carpenter,木匠
