British/ArmyInfantryOfficer,步兵軍官
British/ArmyLineInfantry,線列步兵
British/ArmyLineInfantry2,線列步兵(第92團)
British/Bagpiper,風笛手
British/Cannoneer,砲手
British/Carpenter,木匠
British/CoastGuard,海岸守衛
British/Customs,海關步兵
British/Drummer,鼓手
British/Fifer,笛手
British/FlagBearer,旗手
British/Grenadier,擲彈兵
British/Guard,近衛
British/LightInfantry,輕步兵
British/NavalCaptain,艦長
British/NavalMarine,水兵
British/NavalSailor,水手
British/NavalSailor2,熟練水手
British/Rifleman,來福槍兵
British/Surgeon,軍醫
British/Violinist,小提琴手
French/ArmyInfantryOfficer,步兵軍官
French/ArmyLineInfantry,線列步兵
French/ArmyLineInfantry2,線列步兵(維斯圖拉)
French/Bagpiper,風笛手
French/Cannoneer,砲手
French/Carpenter,木匠
French/CoastGuard,海岸守衛
French/Customs,海關步兵
French/Drummer,鼓手
French/Fifer,笛手
French/FlagBearer,旗手
French/Grenadier,擲彈兵
French/Guard,近衛
French/LightInfantry,輕步兵
French/NavalCaptain,艦長
French/NavalMarine,水兵
French/NavalSailor,水手
French/NavalSailor2,熟練水手
French/Rifleman,來福槍兵
French/Surgeon,軍醫
French/Violinist,小提琴手
Prussian/ArmyLineInfantry,線步兵
Prussian/ArmyInfantryOfficer,步兵軍官
Prussian/Guard,守護
Prussian/LightInfantry,輕步兵
Prussian/ArmyLineInfantry2,線步兵（freikorps）
Prussian/Rifleman,步槍兵
Prussian/Surgeon,外科醫生
Prussian/FlagBearer,旗手
Prussian/Fifer,菲費爾
Prussian/Drummer,鼓手
Prussian/Sapper,工兵
Prussian/Cannoneer,砲手
Prussian/Grenadier,擲彈兵
Prussian/Carpenter,木匠
