"source","target"
"ArmyLineInfantry","纪律严明，训练有素，使用火枪的基层士兵。"
"NavalMarine","战舰上搭载的陆战队，用于阻止敌军登舰以及进行登陆作战。"
"NavalCaptain","一艘战舰上的最高权力者，领导船员走向胜利。"
"NavalSailor","使用弯刀的水手。"
"NavalSailor2","经验丰富的水手，在很远的地方就能发现敌军舰艇。"
"ArmyInfantryOfficer","引领部队走向胜利的线列步兵指挥官。"
"CoastGuard","在沿海工事中驻扎的警卫队，擅长用火枪和火炮守卫海岸。"
"Carpenter","持有斧子的民兵，擅长破坏敌方的防御工事。"
"Surgeon","战地医学专家，他们可以为士兵进行快速包扎止血。"
"Rifleman","从线列步兵中层层筛选出的神枪手，可以轻易击中远方的步兵。"
"LightInfantry","移动非常迅捷的前锋步兵，在大部队交战前扰乱对方的线列。"
"FlagBearer","在战场挥舞旗帜的人，鼓舞附近士兵的士气。"
"Customs","在海边巡逻的轻装步兵，比起其他的同僚行动更加迅捷。"
"Drummer","为士兵们协调节奏的音乐家，有效舒缓士兵们绷紧的神经。"
"Fifer","为士兵们协调节奏的音乐家，有效舒缓士兵们绷紧的神经。"
"Guard","精英步兵。负责保护指挥官，在白刃战表现优异。"
"Violinist","为士兵们协调节奏的音乐家，有效舒缓士兵们绷紧的神经。"
"Grenadier","部队的中坚力量，在战场上屡次成功生还的精英步兵。"
"Bagpiper","为士兵们协调节奏的音乐家，有效舒缓士兵们绷紧的神经。"
"ArmyLineInfantry2","纪律严明。训练有素，使用火枪的外籍基层士兵。"
"Cannoneer","被专门训练火炮操作的兵种，擅长对敌方阵地进行精确打击。"
"Rocketeer","被专门训练火箭操作的兵种，擅长对敌方阵地进行饱和打击。"
"Sapper","被专门训练建造工事的兵种，擅长建造掩体、火炮，并可以在必要的时候修复它们。"
"Hussar","装备精良，随时准备使用军刀冲击敌方阵地的骑兵。"
"Dragoon","骑着马的步兵，火力稍差，但有着优良的机动性。"
