ArmyLineInfantry,堅定。訓練有素，使用火槍。
NavalMarine,海軍陸戰隊員。排斥寄宿生和沿海入侵。
NavalCaptain,船上的權力。指揮船員。
NavalSailor,船員。 Cutlass是他們的首選武器。
NavalSailor2,資深船員。在遠處發射敵艦。
ArmyInfantryOfficer,帶領他的人走向勝利。命令等級和文件。
CoastGuard,衛兵防禦工事。火槍和大砲是他的強項。
Carpenter,斧頭持有者。擅長摧毀敵人的陣地。
Surgeon,研究醫學。通過治療盟軍來支援盟軍。
Rifleman,神槍手。從遠處挑選步兵。
LightInfantry,快速的腳踏車。以更快的速度前進。
FlagBearer,標準持票人。支持獎金等級和檔案。
Customs,在巡邏的Skirmisher。以更快的速度前進。
Drummer,播放精美的旋律。支持獎金等級和檔案。
Fifer,播放精美的旋律。支持獎金等級和檔案。
Guard,精英步兵。守衛高命令並在近戰中表現出色。
Violinist,播放精美的旋律。支持獎金等級和檔案。
Grenadier,最大的士兵。增加近戰生存能力。
Bagpiper,播放精美的旋律。支持獎金等級和檔案。
ArmyLineInfantry2,堅定。訓練有素，使用火槍。
Cannoneer,砲兵。擅長摧毀強化的陣地。
Rocketeer,火箭人。擅長摧毀強化的陣地。
Sapper,構建防禦性作品。支持盟軍。
Hussar,精心裝扮。用馬在劍上的精彩演出。
Dragoon,騎兵步兵。在馬背上的Carabineers。
