"source","target"
"Spyglass","望远镜"
"SpyglassDescription","拿起望远镜可以率先发现远方的敌人，按“{0}”拿起望远镜。"
"Lantern","提灯"
"LanternDescription","在黑夜中点亮提灯可以有效标明你的位置，按“{0}”点亮提灯。"
"MarchingDrumFrench","鼓"
"MarchingDrumBritish","鼓"
"MarchingDrumPrussian","鼓"
"MarchingDrumFrenchDescription","在战场奏响鼓乐，协调士兵们的行进节奏，按“{0}”键拿起乐器。"
"MarchingDrumBritishDescription","在战场奏响鼓乐，协调士兵们的行进节奏，按“{0}”键拿起乐器。"
"MarchingDrumPrussianDescription","在战场奏响鼓乐，协调士兵们的行进节奏，按“{0}”键拿起乐器。"
"Musket_SeaServiceBrownBess","海军型前膛燧发枪"
"Musket_CharlevilleMarinePatternANIX","沙勒维尔步枪海军型"
"Musket_IndiaPatternBrownBess","印度产前装燧发枪"
"Musket_CharlevilleIXXII","沙勒维尔型步枪IX / XIII"
"Musket_NewLandPatternBrownBess","新大陆式前膛燧发枪"
"Musket_CharlevilleGuardPattern","沙勒维尔步枪近卫型"
"Musket_NewLandLightInfantryPatternBrownBess","新大陆式前膛燧发枪轻步兵型"
"Musket_CharlevilleDragoonPattern","沙勒维尔龙骑兵型"
"Carbine_Elliot","艾略特卡宾枪"
"Carbine_CharlevilleCavalryIXXIII","沙勒维尔卡宾枪骑兵型 Ix / Xiii"
"Carbine_1089Pattern","1089型卡宾枪"
"Rifle_Pattern1800Infantry","贝克步枪（1800型来福枪）"
"Rifle_CharlevilleDragoonPattern_NoBayonet","沙勒维尔龙骑兵型"
"Pistol_SeaService","海军手枪"
"Pistol_XIII","十三式手枪"
"Pistol_NewLandPattern","新大陆式手枪"
"Pistol_PrussianHussar","普鲁士轻骑兵手枪"
"Blunderbuss_Variation1","短枪"
"Blunderbuss_Variation2","短枪"
"Axe2H_Variation1","双手斧"
"Axe2H_Variation2","双手斧"
"Carpenter_Adze","木匠锛"
"Carpenter_Axe","木匠斧"
"Sword_Pattern1803FlankOfficer","1803式弗朗克军官刀"
"Sword_1796Heavy","1796式重剑"
"Sword_XIHeavy","十一式重剑"
"Sabre_AnXILight","一把十一式军刀"
"Sabre_1715Pattern","1715式军刀"
"Sabre_PrussianHussar","普鲁士轻骑兵刀"
"Sabre_1796PatternLight","1796式军刀"
"Sword_Bayonet","长刺刀"
"Sabre_Briquet","佩剑"
"Hanger_Variation1","指挥刀"
"Hanger_Variation2","指挥刀"
"Cutlass_1804PatternNaval","1804型海军刀"
"Cutlass_YearIXBoardingSabre","九年式甲板刀"
"Dagger_Variation1","匕首"
"Dagger_Variation2","匕首"
"Knife_Variation1","刀"
"Knife_Variation2","刀"
"BoardingPike_Variation1","海军长矛"
"BoardingPike_Variation2","海军长矛"
"Melee","近战武器"
"Firearm","火枪"
"Miscellaneous","杂项"
"Violin","小提琴"
"BearingFlagBritish","不列颠军旗"
"BearingFlagFrench","法兰西军旗"
"BearingFlagPrussian","普鲁士军旗"
"Bagpipes","风笛"
"BagpipesDescription"," 一种苏格兰人独有的乐器，在战场上吹奏它同样可以有效协调士兵的行进节奏，按“{0}”键拿起乐器。"
"ConstructingHammer","锤子"
"DeconstructingHammer","破拆锤"
"DiggingSpade","铲子"
"FifeFrench","横笛"
"FifeBritish","横笛"
"FifePrussian","横笛"
"FifeBritishDescription","在战场上吹奏美妙的乐曲，可以有效舒缓士兵们的压力，按“{0}”键拿起乐器。"
"FifePrussianDescription","在战场上吹奏美妙的乐曲，可以有效舒缓士兵们的压力，按“{0}”键拿起乐器。"
