"source","target"
"Navigator","航海家"
"NavigatorDescription","作为擅长使用罗盘测量航向的领航员，您所指挥的海军舰艇机动性提高了{0}％。"
"AbleSwimmer","游泳健将"
"AbleSwimmerDescription","由于你的装备很轻，游泳速度提高了{0}％。"
"Distinguishable","可分辨"
"DistinguishableDescription","不同于一般的线列步兵，你在迷你地图上的会有不一样的图标提示。"
"Resilient","韧性"
"ResilientDescription","你拥有很强的荣誉感，所以其他玩家对你造成的近战伤害会降低{0}％。"
"Armoured","披甲"
"ArmouredDescription","你配备了一副胸甲用于保护重要部位免受弹丸直击，所以被子弹正面击中一次并不会立刻死去。"
"LightFooted","轻盈的脚步"
"LightFootedDescription","你的跑步速度很快，所以跑步速度提高了{0}％，但你不擅长使用近战武器，所以威力会有所下降。"
"SkilfulRider","熟练的骑手"
"SkilfulRiderDescription","你非常熟悉马性，所以骑马时的移动速度提高了{0}％。"
"ChosenMan","天选之人"
"ChosenManDescription","你出身于第95步兵团，不愧是天选之人！你感到了一种莫名的自豪感。"
"Marksman","精确射手"
"MarksmanDescription","得益于长时间的射击训练，你使用枪械时的精确度提高了{0}％，但装填速度降低了{1}％。"
"Skirmisher","散兵"
"SkirmisherDescription","接受过进行小规模战斗的特殊训练，在蹲伏时使用枪械的精度提高了{0}％，但被刺刀攻击时会受到更多伤害。"
"EliteInfantry","精英步兵"
"EliteInfantryDescription","作为刺刀经验丰富的精英步兵，你的刺刀伤害会提高{0}％，并且拥有射程更加出色的步枪。"
"MountedFirearmSpecialisation","骑兵射击专业训练"
"MountedFirearmSpecialisationDescription","你有丰富的骑乘射击经验，所以在马背上时使用手枪和卡宾枪造成的伤害提高{0}％。"
"MountedSwordSpecialisation","马刀专业训练"
"MountedSwordSpecialisationDescription","你专门练习过在马背上挥刀的技巧，所以在骑马时使用军刀造成的伤害提高{0}％。"
"MusketSpecialisation","步枪专精"
"MusketSpecialisationDescription","你在步枪训练中表现良好，步枪射击时的伤害提高{0}％，在白刃战中，你的伤害也会增加{1}％。"
"BayonetSpecialisation","专业刺刀训练"
"BayonetSpecialisationDescription","使用刺刀时，你的伤害提高{0}％。"
"BlunderbussSpecialisation","专业猎枪训练"
"BlunderbussSpecialisationDescription","擅长使用猎枪，在使用猎枪时，你的伤害提高{0}％，精度提高{1}％。"
"PistolSpecialisation","专业手枪训练"
"PistolSpecialisationDescription","你擅长使用手枪，在使用手枪时的伤害提高{0}％，精确度提高{1}％。"
"PikeSpecialisation","专业长矛训练"
"PikeSpecialisationDescription","受过专业的长矛使用训练，在挥动长矛时你的伤害提高{0}％。"
"SwordSpecialisation","专业军刀训练"
"SwordSpecialisationDescription","受过专业的军刀训练，使用军刀时，你的伤害提高{0}％。"
"AxeSpecialisation","专业战斧训练"
"AxeSpecialisationDescription","你擅长使用斧头，你在挥动斧头时的伤害提高{0}％。当摧毁玩家建造的防御，门和其他军事工程时，你的伤害也会显著增加。"
"ExplosivesSpecialist","爆炸专家"
"ExplosivesSpecialistDescription","精通爆炸物操作，携带火药桶时移动的速度提高{0}％。。"
"CannonSpecialisation","专业火炮训练"
"CannonSpecialisationDescription","使用火炮时，你的装填速度和推炮速度提高{0}％。"
"RocketSpecialisation","专业火箭训练"
"RocketSpecialisationDescription","使用火箭发射器时，你的装填速度提高{0}％。"
"RankDiscipline","纪律严明"
"RankDisciplineDescription","得益于严苛的编队训练，你在蹲伏状态中用枪支射击时的准确度提高{0}％。"
"Traits","特性"
