Keys,Chinese (Traditional)
Navigator,航海家
NavigatorDescription,公海的導航員。您可以通過{0}％提高您所指揮的海軍艦艇的機動性。
AbleSwimmer,能夠游泳的人
AbleSwimmerDescription,裝備簡單。您的游泳速度提高{0}％。
Distinguishable,可分辨
DistinguishableDescription,從排名和檔案中脫穎而出。您在迷你地圖上的顯示方式不同。
Resilient,彈性
ResilientDescription,責任心強。其他玩家造成的近戰傷害降低{0}％。
Armoured,裝甲
ArmouredDescription,配備胸甲，保護您免受步槍和手槍射擊。你被保證能夠通過槍支在一次射擊中倖存下來。
LightFooted,輕腳
LightFootedDescription,快速靈活。你的跑步速度提高了{0}％，但你使用近戰武器可以減少傷害。
SkilfulRider,熟練的騎手
SkilfulRiderDescription,精通騎馬藝術。騎馬時的速度提高{0}％。
ChosenMan,選擇的男人
ChosenManDescription,享有盛譽的第95名。你是一個被選中的男人！它讓你感到特別。
Marksman,射手
MarksmanDescription,裂紋出手。使用槍械時的準確度提高了{0}％，但重新加載速度降低了{1}％。
Skirmisher,前衛
SkirmisherDescription,掌握有關小規模戰術的知識。在蹲伏時使用槍械時的準確度提高了{0}％，但在受到近戰武器攻擊時會受到更多傷害。
EliteInfantry,精英步兵
EliteInfantryDescription,訓練有素，經驗豐富。你處理近戰武器的傷害提高{0}％。你使用比其他更大的近戰範圍的步槍。
MountedFirearmSpecialisation,安裝槍支專業化
MountedFirearmSpecialisationDescription,在騎馬時使用槍械經驗豐富。從馬背上射擊手槍和卡賓槍時的傷害提高{0}％。
MountedSwordSpecialisation,裝劍專業化
MountedSwordSpecialisationDescription,在馬背上練習各種劍術技巧。在騎馬時揮舞劍的傷害提高{0}％。
MusketSpecialisation,步槍專精
MusketSpecialisationDescription,使用火槍來表現出色。射擊步槍時的傷害提高{0}％。使用刺刀擊打時，你的傷害也會增加{1}％。
BayonetSpecialisation,刺刀專業化
BayonetSpecialisationDescription,Excel使用刺刀。用刺刀擊打時的傷害提高{0}％。
BlunderbussSpecialisation,Blunderbuss專業化
BlunderbussSpecialisationDescription,使用blunderbusses表現出色。射擊大錯時你的傷害提高{0}％，準確度提高{1}％。
PistolSpecialisation,手槍專業化
PistolSpecialisationDescription,Excel使用手槍。射擊手槍時的傷害提高{0}％，準確度提高{1}％。
PikeSpecialisation,派克專業化
PikeSpecialisationDescription,使用登機長矛。揮動長矛時你的傷害提高{0}％。
SwordSpecialisation,劍專業化
SwordSpecialisationDescription,Excel使用劍。使用劍時你的傷害提高{0}％。
AxeSpecialisation,斧頭專業化
AxeSpecialisationDescription,Excel使用軸。揮動斧頭時的傷害提高{0}％。當摧毀玩家建造的防禦，門和其他軍事工程時，你的傷害也會顯著增加。
ExplosivesSpecialist,炸藥專家
ExplosivesSpecialistDescription,訓練有使用揮發性爆炸物。攜帶爆炸物時移動的速度提高{0}％。
CannonSpecialisation,加農炮專業化
CannonSpecialisationDescription,使用和射擊大砲和迫擊砲。您的撞擊和推動速度提高{0}％。
RocketSpecialisation,火箭專業化
RocketSpecialisationDescription,與火箭的使用和射擊一起使用。您的加載速度提高{0}％。
RankDiscipline,等級紀律
RankDisciplineDescription,在編隊期間，在射擊藝術中訓練和訓練。蹲伏和用槍支射擊時的準確度提高{0}％。
Traits,性狀
