Keys,Chinese (Simplified)
0 has won the match,{0}赢得了比赛！
All flags have been captured,所有旗帜都已被占领。
Both factions have the same number of remaining crew reinforcements,双方阵营拥有相同剩余的增援数量。
Both factions have the same number of remaining troop reinforcements and surviving players,双方阵营拥有相同数量的剩余士兵增援和幸存玩家。
Both factions have the same number of surviving crewman in the battlefield,双方阵营有着相同数量的战场幸存船员。
Both factions have the same number of surviving troops in the battlefield,双方阵营有着相同数量的战场幸存士兵。
Both factions have the same number of tickets,双方的票数相同。
Gathered more tickets than the other faction,收集比另一阵营更多的票数。
Maximum tickets reached,已达到最大票数。
Player 0 dominates the battlefield with the greatest number of kills,玩家{0}以最多的杀敌数称霸战场。
Round Timer Ended,回合时间结束
The 0 Are Victorious,{0}获胜了
The 0 Is Victorious,{0}获胜了
The 0 crew reinforcements have been depleted,{0}的船员增援已耗尽。
The 0 crewmen have been eliminated,{0}的船员已被消灭。
The 0 have successfully defended the capture points,{0}成功守住了据点。
The 0 have the greater number of kills,{0}的杀敌数更多。
The 0 have the greater number of remaining crew reinforcements and surviving players,{0}拥有更多数量的剩余船员增援和幸存玩家。
The 0 have the greater number of remaining ships,{0}拥有更多数量的剩余船只。
The 0 have the greatest number of remaining troop reinforcements and surviving players,{0}拥有更多数量的剩余船员增援和幸存玩家。
The 0 have the most surviving crewmen in the battlefield,{0}拥有最多的战场幸存船员。
The 0 have the most surviving troops in the battlefield,{0}拥有最多的战场幸存士兵。
The 0 lost control of all the capture points,{0}丢失了所有据点。
The 0 lost control of the major capture points,{0}丢失了主据点。
The 0 ships have been sunk or captured,{0}的所有船只已经沉没或被俘。
The 0 troops in the battlefield have been eliminated,{0}战场上的士兵已被消灭。
There are not enough players to continue the match,没有足够的玩家继续比赛。
Two or more players have the same number of kills deaths and score,两个或更多的玩家有着相同数量的杀敌数，死亡数和得分。
Your faction lost,你的阵营输了！
Your faction won,你的阵营赢了！
