Capture 0,Capture {0}
Capture and Defend objectives,Capture And Defend Objectives
Control more objectives to gather tickets,Control More Objectives To Gather Tickets
DamageSplit,Damage Reflective: {0}%
Defend 0,Defend {0}
Eliminate enemy crewmen,Eliminate Enemy Crewmen
Eliminate enemy reinforcements,Eliminate Enemy Reinforcements
Eliminate enemy troops,Eliminate Enemy Troops
Eliminate other players,Eliminate Other Players
FriendlyFireDisabled,Damage Friendly Players: No
FriendlyFireEnabled,Damage Friendly Players: Yes
Melee weapons only,Melee Weapons Only
Optional,Optional
Single life,Single Life
Sink enemy ships,Sink Enemy Ships
Reinforce,Reinforce
Charge,Charge!
FormLine,Waiting For Order
BreakRankAndFollow,Break Rank & Follow
FireAtWill,Fire At Will!
MakeReady,Make Ready
Fire,Fire!
CeaseFire,Cease Fire
Officer_Orders,Officer's Orders
