Keys,English
All,All
Community,Community
Connect,Connect
Connected,Connected
Connecting,Connecting
Disconnected,Disconnected
Disconnecting,Disconnecting
Filters,Filters
Game Type,Game Type
Join Official Server,Join Official Server
Join Other Server,Join Custom Server
Join Server,Join Server
Latency,Latency
Lobby Status,Lobby Status
Locked,Locked
Map,Map
Official,Official
Players,Players
Privacy,Privacy
Public,Public
Refresh,Refresh
Region,Region
Search,Search
Server Address,Server Address
Server Browser,Server Browser
Server Name,Server Name
Server Password,Server Password
Server Port,Server Port
Server Type,Server Type
Show Empty Servers,Show Empty Servers
Show Favorites Only,Show Favorites Only
Show Full Servers,Show Full Servers
Show Private Servers,Show Locked Servers
Status,Status
Favourites,Favourites
SelectServer,Select Server
EnterPassword,Enter Password...
EnterServerAddress,Enter Server Address...
