source,target,context
Keys,English,Default
Ship Sunk,Sunk,Default
Keys,English,Server Browser
All,All,Server Browser
Community,Community,Server Browser
Connect,Connect,Server Browser
Connected,Connected,Server Browser
Connecting,Connecting,Server Browser
Disconnected,Disconnected,Server Browser
Disconnecting,Disconnecting,Server Browser
Filters,Filters,Server Browser
Game Type,Game Type,Server Browser
Join Official Server,Join Official Server,Server Browser
Join Other Server,Join Custom Server,Server Browser
Join Server,Join Server,Server Browser
Latency,Latency,Server Browser
Lobby Status,Lobby Status,Server Browser
Locked,Locked,Server Browser
Map,Map,Server Browser
Official,Official,Server Browser
Players,Players,Server Browser
Privacy,Privacy,Server Browser
Public,Public,Server Browser
Refresh,Refresh,Server Browser
Region,Region,Server Browser
Search,Search,Server Browser
Server Address,Server Address,Server Browser
Server Browser,Server Browser,Server Browser
Server Name,Server Name,Server Browser
Server Password,Server Password,Server Browser
Server Port,Server Port,Server Browser
Server Type,Server Type,Server Browser
Show Empty Servers,Show Empty Servers,Server Browser
Show Favorites Only,Show Favorites Only,Server Browser
Show Full Servers,Show Full Servers,Server Browser
Show Private Servers,Show Locked Servers,Server Browser
Status,Status,Server Browser
Favourites,Favourites,Server Browser
SelectServer,Select Server,Server Browser
EnterPassword,Enter Password...,Server Browser
EnterServerAddress,Enter Server Address...,Server Browser
Keys,English,DefensiveEmplacements
Ammobox,Ammobox,DefensiveEmplacements
ArtilleryMenu,Artillery,DefensiveEmplacements
CannotPlaceObject,You cannot place the object here.,DefensiveEmplacements
ChevauxDeFriseLarge,Chevaux De Frise (L),DefensiveEmplacements
ChevauxDeFriseSmall,Chevaux De Frise (S),DefensiveEmplacements
DefensiveEmplacementsMenu,Defences,DefensiveEmplacements
Earthworks,Earthworks,DefensiveEmplacements
EarthworksMenu,Earthworks,DefensiveEmplacements
EmplacementBuildLimitExceeded,"Cannot build {0}, as there are too many objects of this type.",DefensiveEmplacements
EmplacementPlaced,{0} has been placed.,DefensiveEmplacements
ExplosiveBarrel,Explosive Barrel,DefensiveEmplacements
Gabion,Gabion,DefensiveEmplacements
HammerConstructMode,Emplacement Construct Mode,DefensiveEmplacements
HammerDeconstructMode,Emplacement Deconstruct Mode,DefensiveEmplacements
HammerNotEquipped,You need an equipped hammer for this action.,DefensiveEmplacements
InfantryStakes,Infantry Stakes,DefensiveEmplacements
LeftClick,Left-Click,DefensiveEmplacements
MaterialPoints,Material points ,DefensiveEmplacements
Materials,Materials,DefensiveEmplacements
MaterialsRequired,Materials Required:,DefensiveEmplacements
None,None,DefensiveEmplacements
NotEnoughMaterials,Your faction does not have enough materials to build this object.,DefensiveEmplacements
RocketStack,Rocket Stack,DefensiveEmplacements
Sandbags,Sandbags,DefensiveEmplacements
SpadeConstructMode,Dig Construct Mode,DefensiveEmplacements
SpadeDeconstructMode,Dig Deconstruct Mode,DefensiveEmplacements
SwitchedSapperMode,Switch mode to: {0},DefensiveEmplacements
SwivelGunBarrel,Swivel Gun Barrel,DefensiveEmplacements
Keys,English,CenterScreenScorePanel
ObjectiveCaptured,Objective Captured,CenterScreenScorePanel
Keys,English,Game Modes
ArmyAssault,Army Assault,Game Modes
ArmyBattlefield,Army Battlefield,Game Modes
ArmyConquest,Army Conquest,Game Modes
