Keys/Chinese (Traditional),Default
Ship Sunk/沉沒,Default
Keys/Chinese (Traditional),Server Browser
All/全部,Server Browser
Community/社區,Server Browser
Connect/連接,Server Browser
Connected/已連接,Server Browser
Connecting/正在連接,Server Browser
Disconnected/已斷開連接,Server Browser
Disconnecting/正在斷開連接,Server Browser
Filters/篩選器,Server Browser
Game Type/遊戲類別,Server Browser
Join Official Server/加入官方伺服器,Server Browser
Join Other Server/加入自定義服務器,Server Browser
Join Server/加入伺服器,Server Browser
Latency/延遲,Server Browser
Lobby Status/大廳狀態,Server Browser
Locked/有密碼,Server Browser
Map/地圖,Server Browser
Official/官方,Server Browser
Players/玩家人數,Server Browser
Privacy/私密,Server Browser
Public/開放,Server Browser
Refresh/刷新,Server Browser
Region/地區,Server Browser
Search/搜索,Server Browser
Server Address/伺服器地址,Server Browser
Server Browser/檢索伺服器,Server Browser
Server Name/伺服器名稱,Server Browser
Server Password/伺服器密碼,Server Browser
Server Port/伺服器端口,Server Browser
Server Type/伺服器類別,Server Browser
Show Empty Servers/顯示無人的伺服器,Server Browser
Show Favorites Only/僅顯示收藏夾,Server Browser
Show Full Servers/顯示已滿伺服器,Server Browser
Show Private Servers/顯示鎖定的伺服器,Server Browser
Status/狀態,Server Browser
Favourites/收藏,Server Browser
SelectServer/選擇伺服器,Server Browser
EnterPassword/輸入密碼...,Server Browser
EnterServerAddress/輸入伺服器地址...,Server Browser
Keys/Chinese (Traditional),DefensiveEmplacements
Ammobox/彈藥箱,DefensiveEmplacements
ArtilleryMenu/砲兵,DefensiveEmplacements
CannotPlaceObject/您無法在此處放置物體。,DefensiveEmplacements
ChevauxDeFriseLarge/Chevaux De Frize（l）,DefensiveEmplacements
ChevauxDeFriseSmall/Chevaux De Frize（s）,DefensiveEmplacements
DefensiveEmplacementsMenu/防禦建築,DefensiveEmplacements
Earthworks/土方工程,DefensiveEmplacements
EarthworksMenu/土方工程,DefensiveEmplacements
EmplacementBuildLimitExceeded/無法建造{0}，因為此類型的建築太多。,DefensiveEmplacements
EmplacementPlaced/已放置{0}。,DefensiveEmplacements
ExplosiveBarrel/爆炸桶,DefensiveEmplacements
Gabion/石籠,DefensiveEmplacements
HammerConstructMode/進駐建設模式,DefensiveEmplacements
HammerDeconstructMode/進駐解構模式,DefensiveEmplacements
HammerNotEquipped/你需要裝備一個錘子來完成這個操作。,DefensiveEmplacements
InfantryStakes/步兵樁,DefensiveEmplacements
LeftClick/鼠標左鍵點擊,DefensiveEmplacements
MaterialPoints/材料點,DefensiveEmplacements
Materials/材料,DefensiveEmplacements
MaterialsRequired/所需材料：,DefensiveEmplacements
None/无,DefensiveEmplacements
NotEnoughMaterials/您的陣營沒有足夠的材料來建造此建築。,DefensiveEmplacements
RocketStack/火箭堆,DefensiveEmplacements
Sandbags/沙包,DefensiveEmplacements
SpadeConstructMode/挖掘模式,DefensiveEmplacements
SpadeDeconstructMode/填平模式,DefensiveEmplacements
SwitchedSapperMode/切換模式為：{0},DefensiveEmplacements
SwivelGunBarrel/旋轉槍管,DefensiveEmplacements
Keys/Chinese (Traditional),CenterScreenScorePanel
ObjectiveCaptured/已佔領,CenterScreenScorePanel
Keys/Chinese (Traditional),Game Modes
ArmyAssault/陸軍突擊,Game Modes
ArmyBattlefield/陸軍戰場,Game Modes
ArmyConquest/陸軍征服,Game Modes
ArmyDeathmatch/陸軍死鬥,Game Modes
ArmySiege/陸軍圍城,Game Modes
CoastalSiege/沿海圍城,Game Modes
MeleeArena/近戰競技,Game Modes
NavalAssault/海軍突擊,Game Modes
NavalBattlefield/海軍戰場,Game Modes
Keys/Chinese (Traditional),Game Types
Hardcore/硬核,Game Types
Standard/標準,Game Types
Keys/Chinese (Traditional),Spawn Details Menu
Attributes/屬性,Spawn Details Menu
Back/背部,Spawn Details Menu
BattleStartsIn/戰鬥開始於,Spawn Details Menu
Class/兵种,Spawn Details Menu
Class Selection/兵种選擇,Spawn Details Menu
